product_id,product_name,category,subcategory,gender,color,size,fit,material,brand,price_inr,rating,season,description
PRD1011,W Men's Yellow Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Men,Yellow,S,Regular Fit,Cotton,W,1399,4.4,Summer,Stay fashion-forward with this versatile Yellow formal dress shirt from W. Includes a refined Regular Fit profile and high quality Cotton fabric.
PRD1012,H&M Women's Pink Regular Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Pink,S,Regular Fit,Rayon,H&M,3549,4.6,All-Season,"Top-rated H&M checked flannel shirt featuring premium Pink Rayon. Tailored to a comfortable Regular Fit, ideal for everyday wear during All-Season."
PRD1013,Adidas Men's Green Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Green,S,Regular Fit,Linen,Adidas,1849,5.0,Spring,"Elevate your look with this stylish Green linen resort shirt by Adidas. Designed in a comfortable Regular Fit using high-grade Linen, perfect for casual or semi-formal outings."
PRD1014,Manyavar Unisex's Green Relaxed Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Green,L,Relaxed Fit,Linen,Manyavar,1449,4.3,Summer,"Top-rated Manyavar casual button-down featuring premium Green Linen. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during Summer."
PRD1015,Levi's Women's Beige Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Beige,L,Slim Fit,Cotton,Levi's,1749,3.6,Spring,"Top-rated Levi's oxford cotton shirt featuring premium Beige Cotton. Tailored to a comfortable Slim Fit, ideal for everyday wear during Spring."
PRD1016,H&M Unisex's Beige Slim Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Beige,XL,Slim Fit,Linen,H&M,3049,3.7,Summer,"Top-rated H&M casual button-down featuring premium Beige Linen. Tailored to a comfortable Slim Fit, ideal for everyday wear during Summer."
PRD1017,HRX Unisex's Brown Relaxed Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Unisex,Brown,L,Relaxed Fit,Linen,HRX,2399,5.0,All-Season,"Essential HRX Unisex's formal dress shirt tailored with a modern Relaxed Fit. Made of soft, breathable Linen in rich Brown. Ideal choice for All-Season."
PRD1018,Jack & Jones Women's Blue Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Blue,L,Slim Fit,Linen,Jack & Jones,849,4.4,Summer,"Elevate your look with this stylish Blue oxford cotton shirt by Jack & Jones. Designed in a comfortable Slim Fit using high-grade Linen, perfect for casual or semi-formal outings."
PRD1019,Under Armour Men's Blue Relaxed Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Men,Blue,S,Relaxed Fit,Cotton,Under Armour,899,4.8,Summer,"Crafted from premium Cotton, this Under Armour Blue formal dress shirt offers exceptional comfort and durability for Summer wardrobe styling. Features a sleek Relaxed Fit design."
PRD1020,Manyavar Women's Olive Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Olive,M,Regular Fit,Linen,Manyavar,3099,4.4,All-Season,"Elevate your look with this stylish Olive formal dress shirt by Manyavar. Designed in a comfortable Regular Fit using high-grade Linen, perfect for casual or semi-formal outings."
PRD1021,Mango Men's Blue Slim Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Men,Blue,XL,Slim Fit,Polyester,Mango,2449,4.2,Spring,"Crafted from premium Polyester, this Mango Blue checked flannel shirt offers exceptional comfort and durability for Spring wardrobe styling. Features a sleek Slim Fit design."
PRD1022,Nike Women's Maroon Regular Fit Casual Button-Down,shirts,Casual Button-Down,Women,Maroon,M,Regular Fit,Cotton,Nike,1549,4.3,Summer,"Elevate your look with this stylish Maroon casual button-down by Nike. Designed in a comfortable Regular Fit using high-grade Cotton, perfect for casual or semi-formal outings."
PRD1023,HRX Women's Beige Slim Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Beige,XXL,Slim Fit,Cotton,HRX,1199,3.6,Spring,"Top-rated HRX formal dress shirt featuring premium Beige Cotton. Tailored to a comfortable Slim Fit, ideal for everyday wear during Spring."
PRD1024,Levi's Men's White Regular Fit Casual Button-Down,shirts,Casual Button-Down,Men,White,M,Regular Fit,Polyester,Levi's,2399,4.9,Spring,"Elevate your look with this stylish White casual button-down by Levi's. Designed in a comfortable Regular Fit using high-grade Polyester, perfect for casual or semi-formal outings."
PRD1025,Biba Women's Green Regular Fit Casual Button-Down,shirts,Casual Button-Down,Women,Green,XXL,Regular Fit,Rayon,Biba,3499,4.6,Spring,"Elevate your look with this stylish Green casual button-down by Biba. Designed in a comfortable Regular Fit using high-grade Rayon, perfect for casual or semi-formal outings."
PRD1026,Allen Solly Men's Black Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Black,L,Relaxed Fit,Cotton,Allen Solly,999,3.6,All-Season,Stay fashion-forward with this versatile Black linen resort shirt from Allen Solly. Includes a refined Relaxed Fit profile and high quality Cotton fabric.
PRD1027,Manyavar Men's Black Relaxed Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Men,Black,S,Relaxed Fit,Cotton,Manyavar,3199,3.6,Summer,"Elevate your look with this stylish Black oxford cotton shirt by Manyavar. Designed in a comfortable Relaxed Fit using high-grade Cotton, perfect for casual or semi-formal outings."
PRD1028,Biba Unisex's Red Relaxed Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Red,S,Relaxed Fit,Cotton,Biba,2499,4.5,All-Season,"Top-rated Biba casual button-down featuring premium Red Cotton. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during All-Season."
PRD1029,Manyavar Women's Red Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Women,Red,L,Relaxed Fit,Rayon,Manyavar,2399,3.7,Summer,"Essential Manyavar Women's linen resort shirt tailored with a modern Relaxed Fit. Made of soft, breathable Rayon in rich Red. Ideal choice for Summer."
PRD1030,Jack & Jones Men's Black Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Black,XXL,Regular Fit,Cotton,Jack & Jones,1649,4.3,Summer,"Elevate your look with this stylish Black linen resort shirt by Jack & Jones. Designed in a comfortable Regular Fit using high-grade Cotton, perfect for casual or semi-formal outings."
PRD1031,W Men's Navy Regular Fit Casual Button-Down,shirts,Casual Button-Down,Men,Navy,XXL,Regular Fit,Linen,W,1999,4.4,Spring,"Top-rated W casual button-down featuring premium Navy Linen. Tailored to a comfortable Regular Fit, ideal for everyday wear during Spring."
PRD1032,Levi's Women's Olive Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Olive,S,Slim Fit,Linen,Levi's,1199,4.6,Spring,"Elevate your look with this stylish Olive oxford cotton shirt by Levi's. Designed in a comfortable Slim Fit using high-grade Linen, perfect for casual or semi-formal outings."
PRD1033,Adidas Unisex's Red Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Unisex,Red,L,Relaxed Fit,Rayon,Adidas,2849,4.2,Summer,"Crafted from premium Rayon, this Adidas Red linen resort shirt offers exceptional comfort and durability for Summer wardrobe styling. Features a sleek Relaxed Fit design."
PRD1034,H&M Women's Black Slim Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Black,L,Slim Fit,Rayon,H&M,1449,4.6,Summer,"Top-rated H&M checked flannel shirt featuring premium Black Rayon. Tailored to a comfortable Slim Fit, ideal for everyday wear during Summer."
PRD1035,HRX Men's Blue Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Men,Blue,S,Slim Fit,Linen,HRX,2299,4.4,All-Season,"Elevate your look with this stylish Blue oxford cotton shirt by HRX. Designed in a comfortable Slim Fit using high-grade Linen, perfect for casual or semi-formal outings."
PRD1036,HRX Men's Green Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Men,Green,M,Regular Fit,Cotton,HRX,3549,3.9,Spring,"Crafted from premium Cotton, this HRX Green formal dress shirt offers exceptional comfort and durability for Spring wardrobe styling. Features a sleek Regular Fit design."
PRD1037,W Women's Pink Relaxed Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Pink,M,Relaxed Fit,Linen,W,1499,4.8,Summer,"Crafted from premium Linen, this W Pink oxford cotton shirt offers exceptional comfort and durability for Summer wardrobe styling. Features a sleek Relaxed Fit design."
PRD1038,FabIndia Women's Brown Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Women,Brown,M,Relaxed Fit,Linen,FabIndia,1199,4.1,Spring,"Crafted from premium Linen, this FabIndia Brown linen resort shirt offers exceptional comfort and durability for Spring wardrobe styling. Features a sleek Relaxed Fit design."
PRD1039,Mango Men's Purple Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Men,Purple,M,Regular Fit,Rayon,Mango,1699,3.5,Spring,"Elevate your look with this stylish Purple formal dress shirt by Mango. Designed in a comfortable Regular Fit using high-grade Rayon, perfect for casual or semi-formal outings."
PRD1040,Biba Women's Purple Slim Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Women,Purple,XXL,Slim Fit,Rayon,Biba,2399,4.5,Spring,"Top-rated Biba linen resort shirt featuring premium Purple Rayon. Tailored to a comfortable Slim Fit, ideal for everyday wear during Spring."
PRD1041,Tommy Hilfiger Men's Green Slim Fit Casual Button-Down,shirts,Casual Button-Down,Men,Green,S,Slim Fit,Rayon,Tommy Hilfiger,3199,4.2,Summer,"Essential Tommy Hilfiger Men's casual button-down tailored with a modern Slim Fit. Made of soft, breathable Rayon in rich Green. Ideal choice for Summer."
PRD1042,HRX Unisex's Blue Regular Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Blue,S,Regular Fit,Linen,HRX,2549,3.5,Spring,"Top-rated HRX oxford cotton shirt featuring premium Blue Linen. Tailored to a comfortable Regular Fit, ideal for everyday wear during Spring."
PRD1043,Allen Solly Women's Blue Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Women,Blue,L,Relaxed Fit,Rayon,Allen Solly,3499,4.8,All-Season,"Essential Allen Solly Women's linen resort shirt tailored with a modern Relaxed Fit. Made of soft, breathable Rayon in rich Blue. Ideal choice for All-Season."
PRD1044,Manyavar Unisex's Grey Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Unisex,Grey,L,Regular Fit,Polyester,Manyavar,3049,3.7,All-Season,Stay fashion-forward with this versatile Grey linen resort shirt from Manyavar. Includes a refined Regular Fit profile and high quality Polyester fabric.
PRD1045,Biba Unisex's Pink Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Unisex,Pink,S,Regular Fit,Polyester,Biba,1999,3.9,All-Season,Stay fashion-forward with this versatile Pink formal dress shirt from Biba. Includes a refined Regular Fit profile and high quality Polyester fabric.
PRD1046,Under Armour Unisex's Navy Regular Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Navy,M,Regular Fit,Polyester,Under Armour,2849,4.2,Spring,"Elevate your look with this stylish Navy oxford cotton shirt by Under Armour. Designed in a comfortable Regular Fit using high-grade Polyester, perfect for casual or semi-formal outings."
PRD1047,H&M Unisex's Olive Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Unisex,Olive,M,Relaxed Fit,Rayon,H&M,3549,4.0,Summer,"Elevate your look with this stylish Olive linen resort shirt by H&M. Designed in a comfortable Relaxed Fit using high-grade Rayon, perfect for casual or semi-formal outings."
PRD1048,Roadster Men's Red Regular Fit Casual Button-Down,shirts,Casual Button-Down,Men,Red,XL,Regular Fit,Cotton,Roadster,3349,4.4,Spring,Stay fashion-forward with this versatile Red casual button-down from Roadster. Includes a refined Regular Fit profile and high quality Cotton fabric.
PRD1049,Mango Men's White Relaxed Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Men,White,XL,Relaxed Fit,Cotton,Mango,1649,3.8,Summer,"Top-rated Mango checked flannel shirt featuring premium White Cotton. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during Summer."
PRD1050,Jack & Jones Unisex's Red Slim Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Red,XL,Slim Fit,Polyester,Jack & Jones,3499,4.3,Summer,"Top-rated Jack & Jones casual button-down featuring premium Red Polyester. Tailored to a comfortable Slim Fit, ideal for everyday wear during Summer."
PRD1051,Tommy Hilfiger Unisex's Purple Relaxed Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Unisex,Purple,XL,Relaxed Fit,Polyester,Tommy Hilfiger,1449,4.6,All-Season,Stay fashion-forward with this versatile Purple checked flannel shirt from Tommy Hilfiger. Includes a refined Relaxed Fit profile and high quality Polyester fabric.
PRD1052,Jack & Jones Men's Purple Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Purple,XL,Relaxed Fit,Rayon,Jack & Jones,3349,3.9,All-Season,Stay fashion-forward with this versatile Purple linen resort shirt from Jack & Jones. Includes a refined Relaxed Fit profile and high quality Rayon fabric.
PRD1053,H&M Men's Green Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Green,S,Regular Fit,Rayon,H&M,1349,3.7,All-Season,Stay fashion-forward with this versatile Green linen resort shirt from H&M. Includes a refined Regular Fit profile and high quality Rayon fabric.
PRD1054,Roadster Men's Grey Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Men,Grey,XL,Regular Fit,Rayon,Roadster,2499,3.6,All-Season,Stay fashion-forward with this versatile Grey formal dress shirt from Roadster. Includes a refined Regular Fit profile and high quality Rayon fabric.
PRD1055,Biba Unisex's Black Relaxed Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Black,S,Relaxed Fit,Polyester,Biba,2199,3.9,Spring,Stay fashion-forward with this versatile Black oxford cotton shirt from Biba. Includes a refined Relaxed Fit profile and high quality Polyester fabric.
PRD1056,HRX Unisex's Maroon Relaxed Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Maroon,M,Relaxed Fit,Linen,HRX,1899,4.2,Spring,"Crafted from premium Linen, this HRX Maroon oxford cotton shirt offers exceptional comfort and durability for Spring wardrobe styling. Features a sleek Relaxed Fit design."
PRD1057,Biba Unisex's Olive Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Unisex,Olive,M,Regular Fit,Linen,Biba,3299,4.3,Spring,Stay fashion-forward with this versatile Olive linen resort shirt from Biba. Includes a refined Regular Fit profile and high quality Linen fabric.
PRD1058,Under Armour Unisex's Black Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Black,XL,Slim Fit,Polyester,Under Armour,1499,3.6,Summer,Stay fashion-forward with this versatile Black oxford cotton shirt from Under Armour. Includes a refined Slim Fit profile and high quality Polyester fabric.
PRD1059,Tommy Hilfiger Women's Navy Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Navy,XL,Regular Fit,Polyester,Tommy Hilfiger,1799,4.8,Spring,Stay fashion-forward with this versatile Navy formal dress shirt from Tommy Hilfiger. Includes a refined Regular Fit profile and high quality Polyester fabric.
PRD1060,Levi's Men's Navy Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Men,Navy,S,Slim Fit,Cotton,Levi's,899,4.9,All-Season,"Elevate your look with this stylish Navy oxford cotton shirt by Levi's. Designed in a comfortable Slim Fit using high-grade Cotton, perfect for casual or semi-formal outings."
PRD1061,Levi's Men's Red Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Men,Red,S,Slim Fit,Polyester,Levi's,3099,4.9,All-Season,Stay fashion-forward with this versatile Red oxford cotton shirt from Levi's. Includes a refined Slim Fit profile and high quality Polyester fabric.
PRD1062,Adidas Men's Pink Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Pink,L,Relaxed Fit,Cotton,Adidas,1199,4.4,Summer,"Essential Adidas Men's linen resort shirt tailored with a modern Relaxed Fit. Made of soft, breathable Cotton in rich Pink. Ideal choice for Summer."
PRD1063,Under Armour Women's Maroon Slim Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Maroon,M,Slim Fit,Cotton,Under Armour,1199,4.5,All-Season,"Essential Under Armour Women's checked flannel shirt tailored with a modern Slim Fit. Made of soft, breathable Cotton in rich Maroon. Ideal choice for All-Season."
PRD1064,Nike Men's Navy Relaxed Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Men,Navy,L,Relaxed Fit,Polyester,Nike,1049,4.3,All-Season,"Essential Nike Men's oxford cotton shirt tailored with a modern Relaxed Fit. Made of soft, breathable Polyester in rich Navy. Ideal choice for All-Season."
PRD1065,Levi's Women's Blue Regular Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Blue,XL,Regular Fit,Rayon,Levi's,1399,4.2,All-Season,"Top-rated Levi's checked flannel shirt featuring premium Blue Rayon. Tailored to a comfortable Regular Fit, ideal for everyday wear during All-Season."
PRD1066,Adidas Unisex's Brown Regular Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Brown,XXL,Regular Fit,Polyester,Adidas,1849,4.0,Spring,"Elevate your look with this stylish Brown oxford cotton shirt by Adidas. Designed in a comfortable Regular Fit using high-grade Polyester, perfect for casual or semi-formal outings."
PRD1067,H&M Women's Red Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Women,Red,S,Regular Fit,Polyester,H&M,2799,4.8,Spring,"Elevate your look with this stylish Red linen resort shirt by H&M. Designed in a comfortable Regular Fit using high-grade Polyester, perfect for casual or semi-formal outings."
PRD1068,Mango Women's Brown Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Brown,XXL,Regular Fit,Rayon,Mango,1899,4.3,Spring,"Top-rated Mango formal dress shirt featuring premium Brown Rayon. Tailored to a comfortable Regular Fit, ideal for everyday wear during Spring."
PRD1069,Allen Solly Men's Maroon Regular Fit Casual Button-Down,shirts,Casual Button-Down,Men,Maroon,M,Regular Fit,Polyester,Allen Solly,2699,4.5,All-Season,Stay fashion-forward with this versatile Maroon casual button-down from Allen Solly. Includes a refined Regular Fit profile and high quality Polyester fabric.
PRD1070,Jack & Jones Men's Green Slim Fit Casual Button-Down,shirts,Casual Button-Down,Men,Green,M,Slim Fit,Polyester,Jack & Jones,2049,4.5,All-Season,"Essential Jack & Jones Men's casual button-down tailored with a modern Slim Fit. Made of soft, breathable Polyester in rich Green. Ideal choice for All-Season."
PRD1071,Mango Unisex's Navy Regular Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Unisex,Navy,XL,Regular Fit,Rayon,Mango,1899,4.0,Spring,"Elevate your look with this stylish Navy oxford cotton shirt by Mango. Designed in a comfortable Regular Fit using high-grade Rayon, perfect for casual or semi-formal outings."
PRD1072,Nike Women's Blue Relaxed Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Blue,M,Relaxed Fit,Linen,Nike,2749,3.9,Summer,"Top-rated Nike formal dress shirt featuring premium Blue Linen. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during Summer."
PRD1073,Manyavar Women's Blue Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Blue,L,Slim Fit,Rayon,Manyavar,1499,4.0,Summer,"Top-rated Manyavar oxford cotton shirt featuring premium Blue Rayon. Tailored to a comfortable Slim Fit, ideal for everyday wear during Summer."
PRD1074,Roadster Men's Black Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Black,M,Relaxed Fit,Rayon,Roadster,3399,4.8,All-Season,Stay fashion-forward with this versatile Black linen resort shirt from Roadster. Includes a refined Relaxed Fit profile and high quality Rayon fabric.
PRD1075,Nike Unisex's Green Regular Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Green,L,Regular Fit,Polyester,Nike,1549,4.9,Spring,"Essential Nike Unisex's casual button-down tailored with a modern Regular Fit. Made of soft, breathable Polyester in rich Green. Ideal choice for Spring."
PRD1076,Mango Men's Grey Regular Fit Casual Button-Down,shirts,Casual Button-Down,Men,Grey,S,Regular Fit,Cotton,Mango,1399,3.7,All-Season,"Top-rated Mango casual button-down featuring premium Grey Cotton. Tailored to a comfortable Regular Fit, ideal for everyday wear during All-Season."
PRD1077,US Polo Assn Men's Blue Relaxed Fit Casual Button-Down,shirts,Casual Button-Down,Men,Blue,XXL,Relaxed Fit,Polyester,US Polo Assn,3299,3.8,All-Season,"Top-rated US Polo Assn casual button-down featuring premium Blue Polyester. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during All-Season."
PRD1078,Biba Women's Green Relaxed Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Green,XXL,Relaxed Fit,Polyester,Biba,3299,3.6,Spring,"Crafted from premium Polyester, this Biba Green checked flannel shirt offers exceptional comfort and durability for Spring wardrobe styling. Features a sleek Relaxed Fit design."
PRD1079,Allen Solly Women's Olive Slim Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Olive,M,Slim Fit,Linen,Allen Solly,3049,3.6,Summer,"Crafted from premium Linen, this Allen Solly Olive formal dress shirt offers exceptional comfort and durability for Summer wardrobe styling. Features a sleek Slim Fit design."
PRD1080,HRX Unisex's Pink Regular Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Unisex,Pink,M,Regular Fit,Rayon,HRX,1949,4.6,Summer,Stay fashion-forward with this versatile Pink checked flannel shirt from HRX. Includes a refined Regular Fit profile and high quality Rayon fabric.
PRD1081,H&M Women's Brown Relaxed Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Brown,S,Relaxed Fit,Linen,H&M,2999,3.8,Spring,"Elevate your look with this stylish Brown formal dress shirt by H&M. Designed in a comfortable Relaxed Fit using high-grade Linen, perfect for casual or semi-formal outings."
PRD1082,Adidas Men's Black Slim Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Men,Black,XXL,Slim Fit,Rayon,Adidas,1949,4.2,All-Season,Stay fashion-forward with this versatile Black formal dress shirt from Adidas. Includes a refined Slim Fit profile and high quality Rayon fabric.
PRD1083,US Polo Assn Women's Yellow Relaxed Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Yellow,S,Relaxed Fit,Polyester,US Polo Assn,3199,3.6,Spring,Stay fashion-forward with this versatile Yellow checked flannel shirt from US Polo Assn. Includes a refined Relaxed Fit profile and high quality Polyester fabric.
PRD1084,Tommy Hilfiger Women's Black Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Black,XXL,Slim Fit,Linen,Tommy Hilfiger,3199,4.9,All-Season,"Essential Tommy Hilfiger Women's oxford cotton shirt tailored with a modern Slim Fit. Made of soft, breathable Linen in rich Black. Ideal choice for All-Season."
PRD1085,Under Armour Men's Beige Relaxed Fit Casual Button-Down,shirts,Casual Button-Down,Men,Beige,M,Relaxed Fit,Polyester,Under Armour,3149,4.2,Spring,Stay fashion-forward with this versatile Beige casual button-down from Under Armour. Includes a refined Relaxed Fit profile and high quality Polyester fabric.
PRD1086,H&M Women's Grey Regular Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Grey,S,Regular Fit,Rayon,H&M,1449,4.0,All-Season,Stay fashion-forward with this versatile Grey checked flannel shirt from H&M. Includes a refined Regular Fit profile and high quality Rayon fabric.
PRD1087,US Polo Assn Unisex's Black Regular Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Unisex,Black,L,Regular Fit,Cotton,US Polo Assn,2099,3.7,Spring,Stay fashion-forward with this versatile Black checked flannel shirt from US Polo Assn. Includes a refined Regular Fit profile and high quality Cotton fabric.
PRD1088,Manyavar Unisex's Purple Relaxed Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Purple,S,Relaxed Fit,Polyester,Manyavar,1549,4.3,Spring,"Top-rated Manyavar casual button-down featuring premium Purple Polyester. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during Spring."
PRD1089,Mango Men's Red Regular Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Men,Red,XL,Regular Fit,Linen,Mango,2749,3.7,Spring,"Top-rated Mango checked flannel shirt featuring premium Red Linen. Tailored to a comfortable Regular Fit, ideal for everyday wear during Spring."
PRD1090,Puma Women's Yellow Slim Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Yellow,M,Slim Fit,Polyester,Puma,1249,4.2,Summer,"Crafted from premium Polyester, this Puma Yellow formal dress shirt offers exceptional comfort and durability for Summer wardrobe styling. Features a sleek Slim Fit design."
PRD1091,Roadster Unisex's Green Relaxed Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Unisex,Green,XL,Relaxed Fit,Rayon,Roadster,2699,3.9,Spring,"Top-rated Roadster checked flannel shirt featuring premium Green Rayon. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during Spring."
